File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/442.smp/TCD_AuxLeft.channel/TCD_AuxLeft.chm
Channel	TCD_AuxLeft

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	16
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	28-Apr-25
Injection Time	22:05:53
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-0.365198
Signal Max.	170.832138
Channel	TCD_AuxLeft
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	-0.024768
0.001667	0.1	-0.024151
0.003333	0.1	-0.022763
0.005000	0.1	-0.022723
0.006667	0.1	-0.021991
0.008333	0.1	-0.021991
0.010000	0.1	-0.021991
0.011667	0.1	-0.021991
0.013333	0.1	-0.021991
0.015000	0.1	-0.021991
0.016667	0.1	-0.021991
0.018333	0.1	-0.021991
0.020000	0.1	-0.021991
0.021667	0.1	-0.021991
0.023333	0.1	-0.021991
0.025000	0.1	-0.021991
0.026667	0.1	-0.021991
0.028333	0.1	-0.021991
0.030000	0.1	-0.021991
0.031667	0.1	-0.021991
0.033333	0.1	-0.021991
0.035000	0.1	-0.021991
0.036667	0.1	-0.021991
0.038333	0.1	-0.021991
0.040000	0.1	-0.021991
0.041667	0.1	-0.021991
0.043333	0.1	-0.021991
0.045000	0.1	-0.021991
0.046667	0.1	-0.021991
0.048333	0.1	-0.021991
0.050000	0.1	-0.021991
0.051667	0.1	-0.021991
0.053333	0.1	-0.021991
0.055000	0.1	-0.021991
0.056667	0.1	-0.021991
0.058333	0.1	-0.021991
0.060000	0.1	-0.021991
0.061667	0.1	-0.021991
0.063333	0.1	-0.021991
0.065000	0.1	-0.021991
0.066667	0.1	-0.021991
0.068333	0.1	-0.021991
0.070000	0.1	-0.021991
0.071667	0.1	-0.021991
0.073333	0.1	-0.021991
0.075000	0.1	-0.021991
0.076667	0.1	-0.021991
0.078333	0.1	-0.021991
0.080000	0.1	-0.021991
0.081667	0.1	-0.021991
0.083333	0.1	-0.021991
0.085000	0.1	-0.021991
0.086667	0.1	-0.021991
0.088333	0.1	-0.021991
0.090000	0.1	-0.021991
0.091667	0.1	-0.021991
0.093333	0.1	-0.021991
0.095000	0.1	-0.021991
0.096667	0.1	-0.021991
0.098333	0.1	-0.021991
0.100000	0.1	-0.021991
0.101667	0.1	-0.021991
0.103333	0.1	-0.021991
0.105000	0.1	-0.021991
0.106667	0.1	-0.021991
0.108333	0.1	-0.021991
0.110000	0.1	-0.021991
0.111667	0.1	-0.021991
0.113333	0.1	-0.021991
0.115000	0.1	-0.021991
0.116667	0.1	-0.021991
0.118333	0.1	-0.021991
0.120000	0.1	-0.021991
0.121667	0.1	-0.021991
0.123333	0.1	-0.021991
0.125000	0.1	-0.021991
0.126667	0.1	-0.021991
0.128333	0.1	-0.021991
0.130000	0.1	-0.021991
0.131667	0.1	-0.021991
0.133333	0.1	-0.021991
0.135000	0.1	-0.021991
0.136667	0.1	-0.021991
0.138333	0.1	-0.021991
0.140000	0.1	-0.021991
0.141667	0.1	-0.021991
0.143333	0.1	-0.021991
0.145000	0.1	-0.021991
0.146667	0.1	-0.021991
0.148333	0.1	-0.021991
0.150000	0.1	-0.021991
0.151667	0.1	-0.021991
0.153333	0.1	-0.021991
0.155000	0.1	-0.020100
0.156667	0.1	-0.029398
0.158333	0.1	-0.030363
0.160000	0.1	-0.029706
0.161667	0.1	-0.029860
0.163333	0.1	-0.029706
0.165000	0.1	-0.032330
0.166667	0.1	-0.030864
0.168333	0.1	-0.031597
0.170000	0.1	-0.031173
0.171667	0.1	-0.031636
0.173333	0.1	-0.030903
0.175000	0.1	-0.032138
0.176667	0.1	-0.031675
0.178333	0.1	-0.031675
0.180000	0.1	-0.032947
0.181667	0.1	-0.031675
0.183333	0.1	-0.032445
0.185000	0.1	-0.033642
0.186667	0.1	-0.032330
0.188333	0.1	-0.033526
0.190000	0.1	-0.033372
0.191667	0.1	-0.032599
0.193333	0.1	-0.033564
0.195000	0.1	-0.033218
0.196667	0.1	-0.033487
0.198333	0.1	-0.033487
0.200000	0.1	-0.034104
0.201667	0.1	-0.033603
0.203333	0.1	-0.035532
0.205000	0.1	-0.033680
0.206667	0.1	-0.034375
0.208333	0.1	-0.034414
0.210000	0.1	-0.034606
0.211667	0.1	-0.034915
0.213333	0.1	-0.034375
0.215000	0.1	-0.034954
0.216667	0.1	-0.034877
0.218333	0.1	-0.034567
0.220000	0.1	-0.036188
0.221667	0.1	-0.035802
0.223333	0.1	-0.034451
0.225000	0.1	-0.035609
0.226667	0.1	-0.035339
0.228333	0.1	-0.034298
0.230000	0.1	-0.035455
0.231667	0.1	-0.036805
0.233333	0.1	-0.035378
0.235000	0.1	-0.036536
0.236667	0.1	-0.035648
0.238333	0.1	-0.037114
0.240000	0.1	-0.036072
0.241667	0.1	-0.036459
0.243333	0.1	-0.036265
0.245000	0.1	-0.036651
0.246667	0.1	-0.036111
0.248333	0.1	-0.037924
0.250000	0.1	-0.038078
0.251667	0.1	-0.038117
0.253333	0.1	-0.037500
0.255000	0.1	-0.038271
0.256667	0.1	-0.038001
0.258333	0.1	-0.037731
0.260000	0.1	-0.038581
0.261667	0.1	-0.037114
0.263333	0.1	-0.036844
0.265000	0.1	-0.038271
0.266667	0.1	-0.037693
0.268333	0.1	-0.037847
0.270000	0.1	-0.038310
0.271667	0.1	-0.038155
0.273333	0.1	-0.036960
0.275000	0.1	-0.038040
0.276667	0.1	-0.038001
0.278333	0.1	-0.038040
0.280000	0.1	-0.039043
0.281667	0.1	-0.037924
0.283333	0.1	-0.038850
0.285000	0.1	-0.039852
0.286667	0.1	-0.038888
0.288333	0.1	-0.039043
0.290000	0.1	-0.040431
0.291667	0.1	-0.040008
0.293333	0.1	-0.040663
0.295000	0.1	-0.039852
0.296667	0.1	-0.041011
0.298333	0.1	-0.040123
0.300000	0.1	-0.041127
0.301667	0.1	-0.039235
0.303333	0.1	-0.038928
0.305000	0.1	-0.039468
0.306667	0.1	-0.039274
0.308333	0.1	-0.039892
0.310000	0.1	-0.040123
0.311667	0.1	-0.040162
0.313333	0.1	-0.041551
0.315000	0.1	-0.041011
0.316667	0.1	-0.041396
0.318333	0.1	-0.040702
0.320000	0.1	-0.042013
0.321667	0.1	-0.041974
0.323333	0.1	-0.040393
0.325000	0.1	-0.041165
0.326667	0.1	-0.040894
0.328333	0.1	-0.040817
0.330000	0.1	-0.040471
0.331667	0.1	-0.041512
0.333333	0.1	-0.042399
0.335000	0.1	-0.042399
0.336667	0.1	-0.042939
0.338333	0.1	-0.042053
0.340000	0.1	-0.043095
0.341667	0.1	-0.042129
0.343333	0.1	-0.041667
0.345000	0.1	-0.043866
0.346667	0.1	-0.043441
0.348333	0.1	-0.044406
0.350000	0.1	-0.043827
0.351667	0.1	-0.041859
0.353333	0.1	-0.042091
0.355000	0.1	-0.043596
0.356667	0.1	-0.043402
0.358333	0.1	-0.043016
0.360000	0.1	-0.043133
0.361667	0.1	-0.045718
0.363333	0.1	-0.044406
0.365000	0.1	-0.044984
0.366667	0.1	-0.045408
0.368333	0.1	-0.044792
0.370000	0.1	-0.045408
0.371667	0.1	-0.045988
0.373333	0.1	-0.046141
0.375000	0.1	-0.045988
0.376667	0.1	-0.045640
0.378333	0.1	-0.045485
0.380000	0.1	-0.045601
0.381667	0.1	-0.044136
0.383333	0.1	-0.044638
0.385000	0.1	-0.045293
0.386667	0.1	-0.044907
0.388333	0.1	-0.045756
0.390000	0.1	-0.046103
0.391667	0.1	-0.044792
0.393333	0.1	-0.045485
0.395000	0.1	-0.044444
0.396667	0.1	-0.043750
0.398333	0.1	-0.044367
0.400000	0.1	-0.044213
0.401667	0.1	-0.043518
0.403333	0.1	-0.043441
0.405000	0.1	-0.043286
0.406667	0.1	-0.043866
0.408333	0.1	-0.043943
0.410000	0.1	-0.044984
0.411667	0.1	-0.043518
0.413333	0.1	-0.045216
0.415000	0.1	-0.044290
0.416667	0.1	-0.043479
0.418333	0.1	-0.044830
0.420000	0.1	-0.044714
0.421667	0.1	-0.043789
0.423333	0.1	-0.044868
0.425000	0.1	-0.045872
0.426667	0.1	-0.045640
0.428333	0.1	-0.045371
0.430000	0.1	-0.045640
0.431667	0.1	-0.043943
0.433333	0.1	-0.044677
0.435000	0.1	-0.043943
0.436667	0.1	-0.044290
0.438333	0.1	-0.044560
0.440000	0.1	-0.045216
0.441667	0.1	-0.046489
0.443333	0.1	-0.046219
0.445000	0.1	-0.045447
0.446667	0.1	-0.045408
0.448333	0.1	-0.046566
0.450000	0.1	-0.045601
0.451667	0.1	-0.046528
0.453333	0.1	-0.048997
0.455000	0.1	-0.046990
0.456667	0.1	-0.048611
0.458333	0.1	-0.046528
0.460000	0.1	-0.046412
0.461667	0.1	-0.046720
0.463333	0.1	-0.046720
0.465000	0.1	-0.045872
0.466667	0.1	-0.045371
0.468333	0.1	-0.046489
0.470000	0.1	-0.046450
0.471667	0.1	-0.047685
0.473333	0.1	-0.047416
0.475000	0.1	-0.046642
0.476667	0.1	-0.046913
0.478333	0.1	-0.045833
0.480000	0.1	-0.045371
0.481667	0.1	-0.045872
0.483333	0.1	-0.047068
0.485000	0.1	-0.047106
0.486667	0.1	-0.046412
0.488333	0.1	-0.046528
0.490000	0.1	-0.048263
0.491667	0.1	-0.048110
0.493333	0.1	-0.047106
0.495000	0.1	-0.048070
0.496667	0.1	-0.046682
0.498333	0.1	-0.045949
0.500000	0.1	-0.045795
0.501667	0.1	-0.045718
0.503333	0.1	-0.047068
0.505000	0.1	-0.048380
0.506667	0.1	-0.047954
0.508333	0.1	-0.048418
0.510000	0.1	-0.049074
0.511667	0.1	-0.047337
0.513333	0.1	-0.048611
0.515000	0.1	-0.048147
0.516667	0.1	-0.047840
0.518333	0.1	-0.047261
0.520000	0.1	-0.046720
0.521667	0.1	-0.046103
0.523333	0.1	-0.045795
0.525000	0.1	-0.047685
0.526667	0.1	-0.045949
